i,media,lang,n,country,public
1,New York Times,en,46173,us,0
2,nrk.no,no,15756,no,1
4,tv2.no,no,19332,no,1
5,FOX News,en,41809,us,0
6,BBC,en,38803,uk,1
7,CNN,en,45255,us,0
8,marca.com,es,23194,es,0
12,click.ro,ro,2578,ro,0
13,t-online.de,de,1196,de,0
15,rtlnieuws.nl,nl,3261,nl,1
17,Daily Mail,en,11673,uk,0
18,The Sydney Morning Herald,en,39324,au,0
19,Sky News,en,15135,uk,0
20,spiegel.de,de,25021,de,0
21,Washington Post,en,29240,us,0
22,Australian Broadcast Company (ABC),en,23654,au,1
25,elconfidencial.com,es,44340,es,0
26,bild.de,de,34906,de,0
27,n-tv.de,de,24526,de,0
28,heute.at,de,27195,at,0
29,Huffington Post,en,29148,us,0
30,stirileprotv.ro,ro,26768,ro,0
33,msnbc.com 1,en,7193,us,0
34,The Guardian UK,en,44107,uk,0
35,okdiario.com,es,20299,es,0
36,nettavisen,no,30311,no,0
37,realitatea,ro,29817,ro,0
38,derStandard,de,42520,at,0
39,krone,de,4311,at,0
40,Focus,de,33803,de,0
41,ORF,de,2289,at,1
42,dagbladet,no,24262,no,0
43,abc,es,30843,es,0
44,adevarul,ro,43884,ro,0
45,mediafax-en,ro,5880,ro,0
46,cancan,ro,16146,ro,0
47,kleinezeitung,de,38788,at,0
48,elperiodico,es,47103,es,0
49,20minutos,es,16923,es,0
51,kurier-at,de,24522,at,0
52,evz,ro,26927,ro,0
53,kbs-ko,ko,7656,ko,1
54,aftenposten,no,16627,no,0
55,antena3noticias,es,22690,es,0
56,libertatea,ro,40990,ro,0
57,elMundo,es,27693,es,0
58,telecinco,es,2971,es,0
59,hotnews,ro,29993,ro,0
60,antena3,ro,4192,ro,0
61,folha,pt,47977,br,0
62,ziare,ro,12620,ro,0
63,News.com.au,en,41412,au,0
64,lavanguardia,es,41534,es,0
67,telegraaf.nl,nl,3954,nl,0
68,Globo,pt,19094,br,0
71,UOL,pt,23309,br,0
72,news.chosun.com,ko,37553,ko,0
73,9 News,en,9505,au,0
74,eldiario.es,es,6043,es,0
75,Yahoo News - Latest News & Headlines,en,42399,us,0
76,"Terra - Notícias, esportes, coberturas ao vivo, diversão e estilo de vida",pt,29444,br,0
